Ticker,Date,Revenue,OperatingProfit,EBITDA,NetIncome,TotalAssets,CommonEquity,EPS,OperatingCashFlow,CapEx,GrossMargin,OperatingMargin,NetMargin,ROE_TTM,ROA_TTM,CurrentRatio,DebtToEquity,MarketCap,RevenueGrowthQoQ,RevenueGrowthYoY,EPSGrowthYoY,NetIncomeGrowthYoY,StockReturnQoQ,LogAssets,FreeCashFlow
AAPL,25/09/2021,83360,23786,26775,20551,351002,63090,1.24,20200,3223,42.2,28.53,24.65,147.44,28.06,1.07,199.03,2428611.99,,,,,,12.768547200437467,16977
AAPL,25/12/2021,123945,41488,44185,34630,381191,71932,2.1,46966,2803,43.76,33.47,27.94,145.57,27.35,1.04,170.71,2892119.66,48.686420345489445,,,,19.08529118313378,12.851055840829746,44163
AAPL,26/03/2022,97278,29979,32716,25010,350662,67399,1.52,28166,2514,43.75,30.82,25.71,149.27,29.64,0.93,178.02,2851332.73,-21.51518819,,,,-1.410278093,12.76757807553834,25652
AAPL,25/06/2022,82959,23076,25881,19442,336309,58107,1.2,22892,2102,43.26,27.82,23.44,162.82,29.91,0.86,205.98,2292792.74,-14.7196694,,,,-19.58873421,12.725785659190073,20790
AAPL,24/09/2022,90146,24894,27759,20721,352755,50672,1.29,24127,3289,42.26,27.62,22.99,175.46,28.36,0.88,236.95,2417523.22,8.663315613736899,8.140595009596918,4.0322580645161255,0.8272103547272591,5.440111433709438,12.773529043959043,20838
AAPL,31/12/2022,117154,36016,38932,29998,346747,56727,1.88,34005,3787,42.96,30.74,25.61,147.94,26.15,0.94,195.87,2066941.77,29.960286646107413,-5.479043124,-10.47619048,-13.37568582,-14.50167871,12.75635068637325,30218
AAPL,01/04/2023,94836,28318,31216,24160,332160,62158,1.52,28560,2916,44.26,29.86,25.48,145.61,27.63,0.94,176.35,2592789.65,-19.05013913,-2.510331216,0,-3.398640544,25.440865709535675,12.713372059519607,25644
AAPL,01/07/2023,81797,22998,26050,19881,335038,60274,1.26,26380,2093,44.52,28.12,24.31,160.09,28.23,0.98,181.31,3050896.33,-13.74899827,-1.400691908,5.000000000000004,2.257998148338647,17.668486141943696,12.721999237210007,24287
AAPL,30/09/2023,89498,26969,29622,22956,352583,62146,1.46,21598,2163,45.17,30.13,25.65,171.95,27.5,0.99,178.75,2676736.86,9.414770713,-0.718833892,13.178294573643413,10.786158969161729,-12.2639195,12.77304133451078,19435
AAPL,30/12/2023,119575,40373,43221,33916,353514,74100,2.18,39895,2392,45.87,33.76,28.36,154.27,28.82,1.07,145.8,2994371.34,33.606337571789325,2.066510746538741,15.957446808510657,13.06087072471498,11.866481339521728,12.775678367494944,37503
AAPL,30/03/2024,90753,27900,30736,23636,337411,74194,1.53,22690,1996,46.58,30.74,26.04,147.25,29.99,1.04,140.97,2647973.75,-24.10370061,-4.305327091,0.6578947368421018,-2.168874172,-11.56829099,12.729057050815083,20694
AAPL,29/06/2024,85777,25352,28202,21448,331612,66708,1.4,28858,2151,46.26,29.56,25,160.58,30.59,0.95,151.86,3229664.35,-5.483014336,4.865704121178038,11.111111111111093,7.881897288868767,21.96738543952712,12.71172088976703,26707
AAPL,28/09/2024,94930,29591,32502,24982,364980,56950,1.64,26811,2908,46.22,31.17,26.32,174.62,28.98,0.87,187.23,3463350.37,10.670692609907096,6.069409372276469,12.328767123287676,8.825579369228098,7.235613199,12.807597836542806,23903
AAPL,28/12/2024,124300,42832,45912,36330,344085,66758,2.4,29935,2940,46.88,34.46,29.23,151.07,30.5,0.92,145,3863453.2,30.938586326767094,3.951494877691819,10.091743119266038,7.117584620827921,11.552479167737228,12.748643998856338,26995
AAPL,29/03/2025,95359,29589,32250,24780,331233,66796,1.65,23952,3071,47.05,31.03,25.99,152.55,32.17,0.82,146.99,3273309.71,-23.28318584,5.075314314678292,7.843137254901955,4.840074462684041,-15.27502624,12.710577334210898,20881
AAPL,28/06/2025,94036,28203,31033,23434,331495,65830,1.57,27867,3462,46.49,29.99,24.92,165.27,33.03,0.87,154.49,3003295.89,-1.38738871,9.628455180293095,12.142857142857144,9.259604625139882,-8.248954237,12.711368005538047,24405
AAPL,27/09/2025,102466,32427,35554,26980,359241,73733,1.82,29728,3242,47.18,31.65,26.33,170.68,30.8,0.89,133.8,3791126.03,8.964651835467263,7.938480985989682,10.97560975609757,7.997758386037956,26.232185201039226,12.791748751435394,26486
AAPL,27/12/2025,143756,50852,54066,42097,379297,88190,2.84,53925,2373,48.16,35.37,29.28,151.39,32.43,0.97,102.63,4039854.91,40.29629340464154,15.652453740949323,18.333333333333336,15.873933388384254,6.5608180269332905,12.846074818339094,51552
AMD,25/12/2021,4826,1203,1321,974,12419,7497,0.8,822,86,50.27,24.93,20.18,47.43,29.58,2.02,4.18,176480.19,,,,,,9.426982836948033,736
AMD,26/03/2022,5887,1076,1704,786,66915,55333,0.56,995,71,42.89,18.28,13.35,10.98,8.82,2.4,3.23,193884.29,21.985080812266887,,,,9.861786753516078,11.111178436230475,924
AMD,25/06/2022,6550,661,1862,447,67502,55169,0.27,1038,132,36.82,10.09,6.82,10.06,8.01,2.44,5.03,141113.83,11.262102938678442,,,,-27.21750174,11.119912506051302,906
AMD,24/09/2022,5565,-21,1144,66,67811,54542,0.04,965,123,31.7,-0.38,1.19,7.37,5.76,2.16,4.52,109709.25,-15.03816794,,,,-22.25478537,11.1244797,842
